address,size,name,namespace,source,recovery,organized_file
1038c6a0,7,GeometryOcct::getIs3D,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
1038c6c0,10,GeometryOcct::getIsEyelet,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
1038c6d0,10,GeometryOcct::getIsFromDtmFile,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
1038c6f0,610,GeometryOcct::getLayerShape,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
1038c960,282,GeometryOcct::getLayerShow,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
1038ca80,9,GeometryOcct::getListPartAnalysis,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
1038ca90,955,GeometryOcct::getListProcess,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
1038ce50,35,GeometryOcct::getMapChildColor,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
1038ce90,29,GeometryOcct::getMapLayereShapes,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
1038df60,35,GeometryOcct::getOriginal,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
1038df90,685,GeometryOcct::getPartChildWires,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
1038e240,257,GeometryOcct::getProcess,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
1038e350,277,GeometryOcct::getProgramParams,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
1038e470,340,GeometryOcct::getProgramParams,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
10390860,1058,GeometryOcct::getSelectBoxShape,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
10394d90,4,GeometryOcct::getSideFace3D,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
10394dd0,4,GeometryOcct::getTube3D,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
10394de0,7,GeometryOcct::getTube,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
10394df0,31,GeometryOcct::getTubeColor,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
10394e50,1404,GeometryOcct::getWire3D,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
103953d0,91,GeometryOcct::getWorkChildWires,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
10396800,4,GeometryOcct::getcoordArrayIds,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
10396810,4,GeometryOcct::getenableCoordArray,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
10396ae0,98,GeometryOcct::insertMapLayer,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
10396c60,614,GeometryOcct::insetChildWires,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
10396ed0,61,GeometryOcct::insetPartChildWires,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
103972e0,10,GeometryOcct::isModified,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
10397550,230,GeometryOcct::maxSn,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
1039a010,336,GeometryOcct::pntLListTransform,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
1039a160,504,GeometryOcct::pntLListTransform,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
1039a360,517,GeometryOcct::pntListTransform,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
1039a570,306,GeometryOcct::pntListTransform,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
1039a6b0,762,GeometryOcct::pointTransform,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
1039a9b0,635,GeometryOcct::pointTransform,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
1039bd20,346,GeometryOcct::rebuild,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
1039c5d0,447,GeometryOcct::removeBlankWire,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
1039c7a0,16,GeometryOcct::removeChildWires,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
1039c990,89,GeometryOcct::removeMapLayer,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
1039c9f0,285,GeometryOcct::removeProgramParams,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
1039cd60,251,GeometryOcct::replaceChildWires,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
1039ce60,901,GeometryOcct::replaceProgramParams,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
1039db00,450,GeometryOcct::resetCood,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
1039dcd0,450,GeometryOcct::resetCoolType,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
1039dea0,454,GeometryOcct::resetSafetHeight,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
1039f870,72,GeometryOcct::setBlankParams,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
1039f920,81,GeometryOcct::setChildDims,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
1039f980,81,GeometryOcct::setChildTexts,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
1039f9e0,8,GeometryOcct::setChildWires,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
1039f9f0,8,GeometryOcct::setCircleFace3D,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
1039fca0,10,GeometryOcct::setCurActiveLayerId,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
1039fcf0,13,GeometryOcct::setIs3D,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
1039fd10,16,GeometryOcct::setIsEyelet,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
1039fd20,16,GeometryOcct::setIsFromDtmFile,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
1039fe20,91,GeometryOcct::setListPartAnalysis,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
